holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,month,day_of_week,hour
None,288.28,0.0,0.0,40,Clouds,October,Tuesday,9
None,289.36,0.0,0.0,75,Clouds,October,Tuesday,10
None,289.58,0.0,0.0,90,Clouds,October,Tuesday,11
None,290.13,0.0,0.0,90,Clouds,October,Tuesday,12
None,291.14,0.0,0.0,75,Clouds,October,Tuesday,13
None,291.72,0.0,0.0,1,Clear,October,Tuesday,14
None,293.17,0.0,0.0,1,Clear,October,Tuesday,15
None,293.86,0.0,0.0,1,Clear,October,Tuesday,16
None,294.14,0.0,0.0,20,Clouds,October,Tuesday,17
None,293.1,0.0,0.0,20,Clouds,October,Tuesday,18
None,290.97,0.0,0.0,20,Clouds,October,Tuesday,19
None,289.38,0.0,0.0,1,Clear,October,Tuesday,20
None,288.61,0.0,0.0,1,Clear,October,Tuesday,21
None,287.16,0.0,0.0,1,Clear,October,Tuesday,22
None,285.45,0.0,0.0,1,Clear,October,Tuesday,23
None,284.63,0.0,0.0,1,Clear,October,Wednesday,0
None,283.47,0.0,0.0,1,Clear,October,Wednesday,1
None,281.18,0.0,0.0,1,Clear,October,Wednesday,2
None,281.09,0.0,0.0,1,Clear,October,Wednesday,3
None,279.53,0.0,0.0,1,Clear,October,Wednesday,4
None,278.62,0.0,0.0,1,Clear,October,Wednesday,5
None,278.23,0.0,0.0,1,Clear,October,Wednesday,6
None,278.12,0.0,0.0,1,Clear,October,Wednesday,8
None,282.48,0.0,0.0,1,Clear,October,Wednesday,9
None,291.97,0.0,0.0,1,Clear,October,Wednesday,12
None,293.23,0.0,0.0,1,Clear,October,Wednesday,13
None,294.31,0.0,0.0,1,Clear,October,Wednesday,14
None,295.17,0.0,0.0,1,Clear,October,Wednesday,15
None,295.13,0.0,0.0,1,Clear,October,Wednesday,16
None,293.66,0.0,0.0,20,Clouds,October,Wednesday,18
None,290.65,0.0,0.0,20,Clouds,October,Wednesday,19
None,288.19,0.0,0.0,20,Clouds,October,Wednesday,20
None,287.1,0.0,0.0,1,Clear,October,Wednesday,21
None,286.25,0.0,0.0,1,Clear,October,Wednesday,22
None,285.26,0.0,0.0,1,Clear,October,Wednesday,23
None,284.55,0.0,0.0,1,Clear,October,Thursday,0
None,283.47,0.0,0.0,1,Clear,October,Thursday,1
None,283.17,0.0,0.0,1,Clear,October,Thursday,2
None,282.04,0.0,0.0,1,Clear,October,Thursday,3
None,281.69,0.0,0.0,1,Clear,October,Thursday,4
None,281.32,0.0,0.0,1,Clear,October,Thursday,5
None,280.74,0.0,0.0,1,Clear,October,Thursday,6
None,280.57,0.0,0.0,1,Clear,October,Thursday,7
None,281.86,0.0,0.0,1,Clear,October,Thursday,8
None,284.98,0.0,0.0,1,Clear,October,Thursday,9
None,289.18,0.0,0.0,1,Clear,October,Thursday,10
None,291.55,0.0,0.0,1,Clear,October,Thursday,11
None,294.97,0.0,0.0,1,Clear,October,Thursday,12
None,296.38,0.0,0.0,1,Clear,October,Thursday,13
None,297.32,0.0,0.0,1,Clear,October,Thursday,14
None,298.17,0.0,0.0,1,Clear,October,Thursday,15
None,298.06,0.0,0.0,20,Clouds,October,Thursday,16
None,297.67,0.0,0.0,20,Clouds,October,Thursday,17
None,296.36,0.0,0.0,40,Clouds,October,Thursday,18
None,293.85,0.0,0.0,40,Clouds,October,Thursday,19
None,292.43,0.0,0.0,40,Clouds,October,Thursday,20
None,291.77,0.0,0.0,75,Clouds,October,Thursday,21
None,291.36,0.0,0.0,75,Clouds,October,Thursday,22
None,291.12,0.0,0.0,75,Clouds,October,Thursday,23
None,290.63,0.0,0.0,75,Clouds,October,Friday,0
None,290.46,0.0,0.0,40,Clouds,October,Friday,1
None,289.26,0.0,0.0,0,Clear,October,Friday,3
None,283.21,0.0,0.0,75,Clouds,October,Friday,5
None,282.24,0.0,0.0,90,Clouds,October,Friday,6
None,281.69,0.0,0.0,90,Clouds,October,Friday,7
None,280.57,0.0,0.0,90,Clouds,October,Friday,8
None,280.02,0.0,0.0,75,Clouds,October,Friday,9
None,280.11,0.0,0.0,75,Clouds,October,Friday,10
None,280.0,0.0,0.0,90,Clouds,October,Friday,11
None,280.53,0.0,0.0,90,Clouds,October,Friday,12
None,281.43,0.0,0.0,75,Clouds,October,Friday,13
None,281.78,0.0,0.0,90,Clouds,October,Friday,14
None,281.91,0.0,0.0,90,Clouds,October,Friday,15
None,281.73,0.0,0.0,90,Clouds,October,Friday,16
None,281.42,0.0,0.0,90,Clouds,October,Friday,17
None,280.87,0.0,0.0,90,Clouds,October,Friday,18
None,280.15,0.0,0.0,90,Clouds,October,Friday,19
None,279.78,0.0,0.0,90,Clouds,October,Friday,20
None,279.65,0.0,0.0,75,Clouds,October,Friday,21
None,279.22,0.0,0.0,40,Clouds,October,Friday,22
None,279.06,0.0,0.0,40,Clouds,October,Friday,23
None,278.81,0.0,0.0,90,Clouds,October,Saturday,0
None,278.55,0.0,0.0,90,Clouds,October,Saturday,1
None,278.59,0.0,0.0,90,Clouds,October,Saturday,2
None,276.99,0.0,0.0,75,Clouds,October,Saturday,4
None,276.35,0.0,0.0,20,Clouds,October,Saturday,5
None,275.4,0.0,0.0,1,Clear,October,Saturday,6
None,275.17,0.0,0.0,1,Clear,October,Saturday,7
None,274.99,0.0,0.0,1,Clear,October,Saturday,8
None,275.09,0.0,0.0,40,Clouds,October,Saturday,9
None,276.88,0.0,0.0,20,Clouds,October,Saturday,10
None,278.04,0.0,0.0,20,Clouds,October,Saturday,11
None,279.08,0.0,0.0,40,Clouds,October,Saturday,12
None,280.12,0.0,0.0,75,Clouds,October,Saturday,13
None,280.25,0.0,0.0,75,Clouds,October,Saturday,14
None,280.0,0.0,0.0,75,Clouds,October,Saturday,15
None,279.06,0.0,0.0,90,Clouds,October,Saturday,16
None,278.91,0.0,0.0,90,Clouds,October,Saturday,17
None,278.39,0.0,0.0,90,Clouds,October,Saturday,18
